"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","351","0.0-0.0","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","","","","","",""
"","","","","","instructions","1","8946","0.0-1.0","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","[{""page_index"":0,""viewing_time"":8593}]","8593","","","","",""
"","","","","","html-keyboard-response","2","9448","0.0-2.0","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","32946","0.0-3.0","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","[{""page_index"":0,""viewing_time"":1933},{""page_index"":1,""viewing_time"":7115},{""page_index"":2,""viewing_time"":6811},{""page_index"":3,""viewing_time"":2733},{""page_index"":4,""viewing_time"":4905}]","23497","","","","",""
"","","","","","html-button-response","4","37616","0.0-4.0-0.0-0.0","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","4669","","0","Intro Trial","",""
"","","","","","html-button-response","5","41476","0.0-4.1-0.1-0.1","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","3858","","4","Intro Trial","",""
"","","","","","html-button-response","6","50790","0.0-4.2-0.2-0.2","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","9313","","3","Intro Trial","",""
"","","","","","html-button-response","7","51396","0.0-4.3-0.3-0.3","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","604","","4","Intro Trial","",""
"","","","","","html-button-response","8","54038","0.0-4.4-0.4-0.4","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","2640","","3","Intro Trial","",""
"","","","","","html-button-response","9","54676","0.0-4.5-0.5-0.5","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","636","","0","Intro Trial","",""
"","","","","","html-button-response","10","56598","0.0-4.6-0.6-0.6","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","1921","","0","Intro Trial","",""
"","","","","","html-button-response","11","57628","0.0-4.7-0.7-0.7","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","1029","","2","Intro Trial","",""
"","","","","","html-button-response","12","59186","0.0-4.8-0.8-0.8","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","1557","","1","Intro Trial","",""
"","","","","","html-button-response","13","59664","0.0-4.9-0.9-0.9","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","477","","0","Intro Trial","",""
"","","","","","html-button-response","14","60902","0.0-4.10-0.10-0.10","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","1236","","1","Intro Trial","",""
"","","","","","html-button-response","15","61498","0.0-4.11-0.11-0.11","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","595","","3","Intro Trial","",""
"","","","","","html-button-response","16","62462","0.0-4.12-0.12-0.12","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","963","","1","Intro Trial","",""
"","","","","","html-button-response","17","63044","0.0-4.13-0.13-0.13","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","581","","4","Intro Trial","",""
"","","","","","html-button-response","18","64308","0.0-4.14-0.14-0.14","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","1262","","2","Intro Trial","",""
"","","","","","html-button-response","19","64738","0.0-4.15-0.15-0.15","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","429","","3","Intro Trial","",""
"","","","","","html-button-response","20","65486","0.0-4.16-0.16-0.16","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","747","","2","Intro Trial","",""
"","","","","","html-button-response","21","65954","0.0-4.17-0.17-0.17","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","466","","4","Intro Trial","",""
"","","","","","html-button-response","22","66906","0.0-4.18-0.18-0.18","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","950","","3","Intro Trial","",""
"","","","","","html-button-response","23","67264","0.0-4.19-0.19-0.19","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","357","","4","Intro Trial","",""
"","","","","","html-button-response","24","68042","0.0-4.20-0.20-0.20","17","1","2025-02-02 03:13:08","bc01a2b6f61d06f6604adb8657495020","68.45.37.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,fr;q=0.8,id;q=0.7","661de1d2f9c50b06f796b9cc","679edb085803f58d6bbd31ca","679ee2a7fdc71b640a413a6f","","777","","5","Intro Trial","",""
