"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","1039","0.0-0.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","","","","","",""
"","","","","","instructions","1","15266","0.0-1.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","[{""page_index"":0,""viewing_time"":14222}]","14223","","","","",""
"","","","","","html-keyboard-response","2","15773","0.0-2.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","208441","0.0-3.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","[{""page_index"":0,""viewing_time"":23239},{""page_index"":1,""viewing_time"":43078},{""page_index"":2,""viewing_time"":72879},{""page_index"":3,""viewing_time"":7693},{""page_index"":4,""viewing_time"":45779}]","192668","","","","",""
"","","","","","html-button-response","4","263315","0.0-4.0-0.0-0.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","54870","","0","Intro Trial","",""
"","","","","","html-button-response","5","265110","0.0-4.1-0.1-0.1","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","1795","","3","Intro Trial","",""
"","","","","","html-button-response","6","275460","0.0-4.2-0.2-0.2","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","10350","","5","Intro Trial","",""
"","","","","","html-keyboard-response","7","298174","0.0-5.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","22714","[""You sorted incorrectly by using the balance 1 times. <br><br> <img src='G_1.jpg' height='90'><img src='G_2.jpg' height='90'><img src='G_3.jpg' height='90'><img src='G_4.jpg' height='90'><img src='G_5.jpg' height='90'><br><br> Your final order is 4,2,3,5,1<br><br><br>Omgne Sort in this game will allow you to sort correctly by using the balance 8 times. Press Enter to learn it!""]","control","","",""
"","","","","","html-keyboard-response","8","298461","0.0-6.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","286","<p>Welcome to the learning phase! <br><br> You will learn by six examples. The following learning trials will not be used to calculate your performance. <br><br> Press Enter to continue.<p/>","c","","",""
"","","","","","html-keyboard-response","9","306174","0.0-7.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","7713","[""Example 1<br><br>You will watch Omnge Sort in action. Try to identify any patterns in the comparisons made by this method. <br><br>Press Enter to continue.""]","enter","","",""
"","","","","","html-keyboard-response","10","306677","0.0-8.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","null","<img id='selected' src='G_7.jpg' height='90'> <img src='G_5.jpg' height='90'> <img src='G_1.jpg' height='90'> <img src='G_9.jpg' height='90'> <img src='G_3.jpg' height='90'>","null","Animation0","",""
"","","","","","html-keyboard-response","11","307179","0.0-9.0","32","1","2025-02-02 03:52:59","bc01a2b6f61d06f6604adb8657495020","109.166.49.198","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6762c5c001ce66a8d666441a","679edb085803f58d6bbd31ca","679eec104d1f034397408ef1","","null","<img id='selected' src='G_7.jpg' height='90'> <img id='selected' src='G_5.jpg' height='90'> <img src='G_1.jpg' height='90'> <img src='G_9.jpg' height='90'> <img src='G_3.jpg' height='90'>","null","Animation0","",""
