"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","581","0.0-0.0","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","","","","","",""
"","","","","","instructions","1","30096","0.0-1.0","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","[{""page_index"":0,""viewing_time"":29512}]","29512","","","","",""
"","","","","","html-keyboard-response","2","30611","0.0-2.0","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","66272","0.0-3.0","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","[{""page_index"":0,""viewing_time"":2910},{""page_index"":1,""viewing_time"":9765},{""page_index"":2,""viewing_time"":9299},{""page_index"":3,""viewing_time"":3576},{""page_index"":4,""viewing_time"":10111}]","35660","","","","",""
"","","","","","html-button-response","4","81325","0.0-4.0-0.0-0.0","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","15049","","0","Intro Trial","",""
"","","","","","html-button-response","5","82108","0.0-4.1-0.1-0.1","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","778","","1","Intro Trial","",""
"","","","","","html-button-response","6","85046","0.0-4.2-0.2-0.2","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","2933","","1","Intro Trial","",""
"","","","","","html-button-response","7","85602","0.0-4.3-0.3-0.3","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","552","","2","Intro Trial","",""
"","","","","","html-button-response","8","87143","0.0-4.4-0.4-0.4","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","1536","","0","Intro Trial","",""
"","","","","","html-button-response","9","87905","0.0-4.5-0.5-0.5","28","1","2025-02-02 03:47:45","bc01a2b6f61d06f6604adb8657495020","12.74.236.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","WebKit","Edge","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","670db0b5fbb9e80cbee561cc","679edb085803f58d6bbd31ca","679eeaae8946d6e2b913e42e","","757","","1","Intro Trial","",""
