"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","972","0.0-0.0","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","","","","","",""
"","","","","","instructions","1","303012","0.0-1.0","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","[{""page_index"":0,""viewing_time"":302035}]","302037","","","","",""
"","","","","","html-keyboard-response","2","303529","0.0-2.0","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","335824","0.0-3.0","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","[{""page_index"":0,""viewing_time"":2555},{""page_index"":1,""viewing_time"":10596},{""page_index"":2,""viewing_time"":7687},{""page_index"":3,""viewing_time"":4709},{""page_index"":4,""viewing_time"":6745}]","32292","","","","",""
"","","","","","html-button-response","4","357865","0.0-4.0-0.0-0.0","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","22039","","2","Intro Trial","",""
"","","","","","html-button-response","5","358709","0.0-4.1-0.1-0.1","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","841","","3","Intro Trial","",""
"","","","","","html-button-response","6","360056","0.0-4.2-0.2-0.2","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","1344","","2","Intro Trial","",""
"","","","","","html-button-response","7","360773","0.0-4.3-0.3-0.3","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","716","","3","Intro Trial","",""
"","","","","","html-button-response","8","361823","0.0-4.4-0.4-0.4","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","1048","","2","Intro Trial","",""
"","","","","","html-button-response","9","363306","0.0-4.5-0.5-0.5","31","1","2025-02-02 03:52:46","bc01a2b6f61d06f6604adb8657495020","75.203.11.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5d5580165514d80017cd1999","679edb085803f58d6bbd31ca","679eebfd07399d1264e227d4","","1481","","3","Intro Trial","",""
